time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,sen,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,covid_non_compulsory_perc,pa_perc,academic_year
202223,Summer term,Local authority,E92000001,England,E12000002,North West,E08000012,Liverpool,341,Secondary,No SEN,1606156,34745,1640901,183747,76828,106919,82577,1824648,733619,794138,1527757,78399,45338,5839,7080,2627,5,397,6249,9281,3270,18926,419,4786,20579,5691,13329,4178,85410,4002,12,89.92972891,10.07027109,4.210565545,5.859705543,2.484753224,0.320006927,0.73049706,4.680902837,0.228975671,0.219329975,0.388020046,0.143972975,0.000274025,0.021757621,0.342477015,0.508646051,0.000657661,31.13498564,202223
202223,Summer term,Local authority,E92000001,England,E12000008,South East,E06000060,Buckinghamshire,825,Special,EHC plan,95904,1485,97389,11166,9111,2055,746,108555,47438,47820,95258,646,4790,920,409,0,82,644,88,2178,880,912,8,21,525,51,579,100,1194,182,0,89.71396988,10.28603012,8.392980517,1.893049606,4.412509788,0.847496661,0.533370181,1.099903275,0.092119202,0.167656948,0.376767537,0,0.075537746,0.593247662,0.081064898,2.006356225,0,32.33779609,202223
202223,Summer term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,382,Secondary,No SEN,2112291,64414,2176705,207493,128149,79344,60509,2384198,1015246,1039859,2055105,57186,74219,6210,30184,1480,2,747,4573,10728,11286,6375,160,3613,37394,11961,12979,3323,58956,4086,6,91.29715737,8.702842633,5.374931109,3.327911524,3.112954545,0.260464945,0.544375929,2.472781204,0.139376008,0.171378384,1.266002236,0.062075381,8.39E-05,0.03133129,0.19180454,0.449962629,0.000251657,27.5437289,202223
202223,Summer term,Local authority,E92000001,England,E12000009,South West,E06000030,Swindon,866,Secondary,No SEN,927600,27270,954870,87266,55904,31362,24078,1042136,449280,457027,906307,21293,35537,3929,1292,3314,20,390,3414,7720,1102,3242,83,2327,17917,5841,4000,2785,22856,1721,288,91.62623688,8.373763117,5.364367031,3.009396086,3.410015583,0.377014133,0.383827063,2.193187837,0.267239593,0.165141594,0.123976141,0.318000722,0.001919135,0.037423139,0.327596398,0.740786231,0.027635549,25.37875037,202223
202223,Summer term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000036,Wakefield,384,Secondary,SEN support,222825,10016,232841,40973,22869,18104,9852,273814,104613,108767,213380,9445,13037,1363,179,659,0,74,3079,4368,6779,3682,42,253,2143,799,2656,407,13387,1654,110,85.03619245,14.96380755,8.352019984,6.611787564,4.761261294,0.497783167,0.970001534,4.889085291,0.148641048,0.60405969,0.065372844,0.240674326,0,0.027025645,1.124485965,1.595243486,0.040173256,43.08450171,202223
202223,Summer term,Local authority,E92000001,England,E12000007,London,E09000032,Wandsworth,212,Secondary,EHC plan,25901,3041,28942,4398,2840,1558,963,33340,12373,12650,25023,878,1223,215,98,26,0,30,100,982,2034,100,13,147,497,350,19,85,1163,291,166,86.80863827,13.19136173,8.518296341,4.673065387,3.668266347,0.644871026,0.056988602,3.48830234,0.25494901,0.872825435,0.293941212,0.077984403,0,0.089982004,0.299940012,2.945410918,0.49790042,34.88372093,202223
202223,Summer term,Local authority,E92000001,England,E12000006,East of England,E06000033,Southend-on-Sea,882,Secondary,SEN support,55277,1794,57071,9504,4319,5185,2075,66575,26140,27217,53357,1920,2297,275,35,290,0,0,423,999,796,876,10,120,640,228,340,155,4650,40,0,85.72437101,14.27562899,6.487420203,7.788208787,3.450244086,0.413067968,0.510702216,6.98460383,0.232820128,0.060082614,0.052572287,0.435598949,0,0,0.635373639,1.500563275,0,41.99683043,202223
202223,Summer term,Local authority,E92000001,England,E12000007,London,E09000018,Hounslow,313,Special,SEN support,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,202223
202223,Summer term,Local authority,E92000001,England,E12000001,North East,E06000004,Stockton-on-Tees,808,Primary,No SEN,1353047,27369,1380416,75930,41421,34509,12320,1456346,669714,672567,1342281,10766,30938,2801,2874,0,272,1765,177,2538,5071,135,0,3885,18412,1,20369,1554,11964,622,56,94.78626645,5.21373355,2.844173019,2.36956053,2.124357811,0.192330669,1.398637412,0.821508076,0.106705412,0.042709631,0.197343214,0,0.01867688,0.121193727,0.012153705,0.174271773,0.00384524,16.98355969,202223
202223,Summer term,Local authority,E92000001,England,E12000007,London,E09000009,Ealing,307,Secondary,EHC plan,36673,2746,39419,5122,2929,2193,1502,44541,17485,17742,35227,1446,1418,346,370,233,8,4,224,325,1325,303,19,231,885,286,180,56,1661,296,1,88.5004827,11.4995173,6.575963719,4.92355358,3.183583664,0.776812375,0.404122045,3.729148425,0.125726858,0.664556252,0.830695314,0.523113536,0.01796098,0.00898049,0.502907434,0.729664803,0.002245122,37.52759382,202223
