time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,gender,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,covid_non_compulsory_perc,pa_perc,academic_year
202223,Summer term,Regional,E92000001,England,E12000009,South West,,,,Primary,Female,16734373,369824,17104197,974165,640709,333456,170899,18078362,8266969,8327241,16594210,140163,479293,45255,16781,27,5074,22700,1788,68126,72081,4283,2535,26036,269149,23,170236,30736,119372,13112,1665,94.61143106,5.388568942,3.544065552,1.84450339,2.65119705,0.250326882,0.941656108,0.660303185,0.170015403,0.072528695,0.092823675,0.00014935,0.028066702,0.125564473,0.009890277,0.376837238,0.009209905,16.77766574,202223
202223,Summer term,Regional,E92000001,England,E12000008,South East,,,,Special,Female,420867,12911,433778,60856,45475,15381,4900,494634,208444,208622,417066,3801,22823,6052,675,220,2,3211,466,12020,8227,1242,134,401,3770,379,1621,1099,11535,1126,6,87.69676165,12.30323835,9.193666428,3.109571926,4.614118722,1.223530934,0.327717059,2.332027317,0.222184484,0.227643065,0.136464537,0.044477331,0.000404339,0.649166859,0.094211073,2.430079614,0.001213018,35.4302404,202223
202223,Summer term,Regional,E92000001,England,E12000006,East of England,,,,Special,Unknown,69,3,72,45,35,10,0,117,36,33,69,0,26,2,0,0,0,0,0,7,0,0,0,0,3,0,10,0,0,0,0,61.53846154,38.46153846,29.91452991,8.547008547,22.22222222,1.709401709,8.547008547,0,0,0,0,0,0,0,0,5.982905983,0,100,202223
202223,Summer term,Local authority,E92000001,England,E12000008,South East,E10000025,Oxfordshire,931,Primary,Female,2284461,41922,2326383,126524,87152,39372,23314,2452907,1128443,1136939,2265382,19079,63271,6682,4793,0,566,2029,262,9461,8619,299,682,1833,30788,0,18910,4235,14270,1957,76,94.84187537,5.158124625,3.553008736,1.605115889,2.579429224,0.272411469,0.770922012,0.581758705,0.172652286,0.079782886,0.195400804,0,0.023074662,0.082718179,0.010681204,0.385705614,0.003098365,15.56529611,202223
202223,Summer term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,812,Secondary,Male,430847,11894,442741,52734,23964,28770,13885,495475,206119,212222,418341,12506,15216,1713,211,240,0,149,3187,3248,1358,6552,204,1980,5385,2967,3816,1379,22690,885,0,89.35687976,10.64312024,4.836570967,5.806549271,3.070992482,0.345728846,0.770170039,4.579443968,0.278318785,0.178616479,0.042585398,0.048438367,0,0.030072153,0.643221151,0.65553257,0,30.90909091,202223
202223,Summer term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000035,Leeds,383,Special,Female,36578,3293,39871,5865,4066,1799,332,45736,18280,18054,36334,244,2373,570,138,7,0,110,0,868,3103,0,2,1,187,0,501,88,1035,175,0,87.17640371,12.82359629,8.890152178,3.933444114,5.188472975,1.246283016,1.095417177,2.262987581,0.192408606,0.38263075,0.301731677,0.01530523,0,0.240510757,0,1.897848522,0,34.65346535,202223
202223,Summer term,Local authority,E92000001,England,E12000002,North West,E06000049,Cheshire East,895,Primary,Male,1392347,31163,1423510,76386,51193,25193,11152,1499896,691342,691574,1382916,9431,37076,4045,924,3,88,2566,378,6099,6356,586,478,1897,22432,0,14729,1721,7636,1107,14,94.9072469,5.092753098,3.413103308,1.679649789,2.471904719,0.269685365,0.982001419,0.509101964,0.114741289,0.073805117,0.061604271,0.000200014,0.005867073,0.171078528,0.025201747,0.406628193,0.000933398,15.2514747,202223
202223,Summer term,Local authority,E92000001,England,E12000007,London,E09000008,Croydon,306,Secondary,Female,434257,14198,448455,52441,28798,23643,18318,500896,203725,214944,418669,15588,15850,2195,1045,4694,4,125,1472,3411,3285,5528,198,1123,5913,3679,1610,2730,18207,1096,2,89.53056123,10.46943877,5.749297259,4.720141506,3.164329521,0.438214719,0.321424008,3.634886284,0.545023318,0.218807896,0.208626142,0.93712068,0.000798569,0.02495528,0.293873379,0.680979684,0.000399284,33.25237806,202223
202223,Summer term,Local authority,E92000001,England,E12000005,West Midlands,E10000031,Warwickshire,937,Special,Male,75804,1136,76940,9973,8090,1883,346,86913,37836,37778,75614,190,3835,605,50,0,0,684,94,2822,615,0,2,2,484,33,184,156,1519,24,0,88.52530692,11.47469308,9.308158733,2.16653435,4.412458435,0.696098397,0.211705959,1.747724736,0.179489835,0.027613821,0.057528793,0,0,0.78699389,0.108154131,3.246925086,0,28.72483221,202223
202223,Summer term,Local authority,E92000001,England,E12000009,South West,E06000058,"Bournemouth, Christchurch and Poole",839,Special,Female,19286,435,19721,2276,1715,561,176,21997,9634,9549,19183,103,935,135,6,0,0,120,8,511,26,8,1,49,355,4,188,73,296,4,0,89.65313452,10.34686548,7.796517707,2.550347775,4.250579624,0.613720053,0.854661999,1.345638042,0.331863436,0.018184298,0.027276447,0,0,0.545528936,0.036368596,2.323044051,0,28.34224599,202223
