time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,gender,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,covid_non_compulsory_perc,pa_perc,academic_year
202223,Spring term,Local authority,E92000001,England,E12000008,South East,E10000025,Oxfordshire,931,Secondary,Female,1507792,21919,1529711,166423,114366,52057,48460,1696134,749939,714391,1464330,43462,82493,8338,116,1,50,507,3394,18974,8827,1896,634,1342,7617,3499,3229,4998,40605,3225,455,90.18809835,9.811901654,6.742745561,3.069156093,4.863589787,0.491588518,0.19037411,2.393973589,0.294670115,0.190138279,0.006839082,5.90E-05,0.00294788,0.029891506,0.200102115,1.118661615,0.026825711,26.90383894,202223
202223,Spring term,Local authority,E92000001,England,E12000008,South East,E10000014,Hampshire,850,Secondary,Male,3195393,36974,3232367,291581,203361,88220,121039,3523948,1517933,1563378,3081311,114082,149332,12149,65,36,150,1269,10283,30000,14958,26458,725,3738,10804,6749,5284,6957,74576,1403,77,91.72572921,8.274270789,5.770828627,2.503442162,4.237633472,0.344755371,0.149945459,2.116262783,0.19742062,0.0398133,0.001844522,0.001021581,0.004256589,0.036010747,0.291803398,0.851317897,0.002185049,23.08409248,202223
202223,Spring term,Local authority,E92000001,England,E12000002,North West,E08000002,Bury,351,Primary,Male,722344,4038,726382,40172,30839,9333,11433,766554,351702,360725,712427,9917,24711,1967,66,0,28,334,180,3549,869,945,50,399,2720,0,3517,1516,3795,505,4,94.75940377,5.240596227,4.023069477,1.21752675,3.223647649,0.256602927,0.458806555,0.495072754,0.197768194,0.065879247,0.008609961,0,0.003652711,0.043571621,0.023481712,0.462981082,0.000521816,15.31259003,202223
202223,Spring term,Local authority,E92000001,England,E12000009,South West,E10000013,Gloucestershire,916,Special,Female,33105,361,33466,4699,4191,508,607,38165,16044,16536,32580,525,2721,635,8,0,0,183,3,641,159,0,6,13,183,0,18,82,406,2,0,87.68767195,12.31232805,10.98126556,1.331062492,7.129568977,1.663828115,0.047163632,1.063801913,0.214856544,0.005240404,0.020961614,0,0,0.479496921,0.007860605,1.679549325,0,37.05882353,202223
202223,Spring term,Local authority,E92000001,England,E12000006,East of England,E10000015,Hertfordshire,919,Secondary,Female,2731321,33822,2765143,237282,172546,64736,88111,3002425,1304650,1345585,2650235,81086,130697,15149,149,85,33,734,3823,21862,9874,4955,485,4827,15304,3332,4696,7025,47386,5629,14,92.09698827,7.903011732,5.746887932,2.1561238,4.353047953,0.504558815,0.156406904,1.578257575,0.233977535,0.187481786,0.004962655,0.002831045,0.001099112,0.024446905,0.127330408,0.72814475,0.00046629,21.70808733,202223
202223,Spring term,Local authority,E92000001,England,E12000006,East of England,E06000032,Luton,821,Secondary,Male,578855,9245,588100,57142,31977,25165,24879,645242,273348,283983,557331,21524,24942,2022,34,6,4,72,2436,2461,6799,1227,69,297,1597,483,3164,3355,15589,3057,0,91.14409787,8.855902127,4.955815028,3.900087099,3.865526423,0.313370797,0.490358656,2.415992759,0.519959953,0.473775731,0.005269341,0.000929884,0.000619922,0.011158604,0.377532771,0.381407286,0,28.20641283,202223
202223,Spring term,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Special,Male,46786,1046,47832,9667,5792,3875,303,57499,23249,23266,46515,271,2697,339,0,0,0,96,180,2480,1015,0,0,0,31,0,165,32,3667,11,0,83.1875337,16.8124663,10.07321866,6.739247639,4.690516357,0.589575471,0.286961512,6.377502217,0.055653142,0.019130767,0,0,0,0.166959425,0.313048923,4.313118489,0,37.78625954,202223
202223,Spring term,Local authority,E92000001,England,E12000005,West Midlands,E06000051,Shropshire,893,Primary,Female,854305,7079,861384,44834,38151,6683,6860,906218,423560,425355,848915,5390,31985,2452,15,3,22,507,19,3147,451,7,1,1392,5235,0,1761,1470,3150,302,1,95.05262531,4.947374694,4.209914171,0.737460523,3.529503938,0.270575071,0.194324103,0.347598481,0.162212624,0.033325315,0.001655231,0.000331046,0.002427672,0.055946803,0.002096626,0.347267435,0.000110349,14.09224012,202223
202223,Spring term,Local authority,E92000001,England,E12000004,East Midlands,E06000018,Nottingham,892,Special,Female,8221,13,8234,1148,1015,133,124,9382,4020,4084,8104,117,534,193,0,0,0,20,0,268,2,0,1,0,10,0,58,7,62,6,0,87.76380303,12.23619697,10.81858879,1.417608186,5.69175016,2.057130676,0.618205074,0.660839906,0.074610957,0.063952249,0,0,0,0.213174163,0,2.856533788,0,31.11111111,202223
202223,Spring term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000035,Leeds,383,Special,Male,108464,5943,114407,17444,11187,6257,1410,131851,54324,53096,107420,1044,6901,1147,0,0,0,139,35,2965,5735,15,31,0,133,44,563,366,5192,136,0,86.76991452,13.23008548,8.484577288,4.745508187,5.233938309,0.869921351,0.426997141,3.93777825,0.277586063,0.103146734,0,0,0,0.105422029,0.026545115,2.248750484,0,35.54463554,202223
